PUB12,PUB34,PUB5,PRIV,YEARS,SCHOOL,LOGINC,PTCON,YESVM
0,1,0,0,10,1,9.77,7.0475,1
0,1,0,0,8,0,10.021,7.0475,0
1,0,0,0,4,0,10.021,7.0475,0
0,1,0,0,13,0,9.4335,6.3969,0
0,1,0,0,3,1,10.021,7.2792,1
1,0,0,0,5,0,10.463,7.0475,0
0,0,0,0,4,0,10.021,7.0475,0
0,1,0,0,5,0,10.021,7.2793,1
1,0,0,0,10,0,10.222,7.0475,0
0,1,0,0,5,0,9.4335,7.0475,1
1,0,0,0,3,0,10.021,7.0475,1
1,0,0,0,30,0,9.77,6.3969,0
1,0,0,0,1,0,9.77,6.7452,1
0,1,0,0,3,0,10.021,7.0475,1
0,1,0,0,3,0,10.82,6.7452,1
0,1,0,0,42,0,9.77,6.7452,1
0,1,0,0,5,1,10.222,7.0475,1
1,0,0,0,10,0,10.021,7.0475,0
1,0,0,0,4,0,10.222,7.0475,1
1,0,0,1,4,0,10.222,6.7452,1
0,1,0,0,11,1,10.463,7.0475,1
0,0,0,0,5,0,10.222,7.0475,1
0,1,0,0,35,0,9.77,6.7452,1
0,1,0,0,3,0,10.463,7.2793,1
1,0,0,0,16,0,10.021,6.7452,1
0,0,0,1,7,0,10.463,7.0475,0
1,0,0,0,5,1,9.77,6.7452,1
1,0,0,0,11,0,9.77,7.0475,0
1,0,0,0,3,0,9.77,6.7452,0
1,0,0,1,2,0,10.222,7.0475,1
0,1,0,0,2,0,10.021,6.7452,1
1,0,0,0,2,0,9.4335,6.7452,0
0,1,0,0,2,1,8.294,7.0475,0
0,0,0,1,4,0,10.463,7.0475,1
1,0,0,0,2,0,10.021,7.0475,1
0,1,0,0,3,0,10.222,7.2793,0
1,0,0,0,3,0,10.222,7.0475,1
1,0,0,0,2,0,10.222,7.4955,1
0,1,0,0,10,0,10.021,7.0475,0
1,0,0,0,2,0,10.222,7.0475,1
1,0,0,0,2,0,10.021,7.0475,0
1,0,0,0,3,0,10.82,7.4955,0
1,0,0,0,3,0,10.021,7.0475,1
0,1,0,0,3,0,10.021,7.0475,1
1,0,0,0,6,0,10.021,6.7452,1
0,1,0,0,2,0,10.021,7.0475,1
1,0,0,0,26,0,9.77,6.7452,0
0,0,0,1,18,0,10.222,7.4955,0
0,0,0,0,4,0,9.77,6.7452,0
0,0,0,0,6,0,10.021,7.0475,0
0,0,0,0,12,0,10.021,6.7452,1
1,0,0,0,49,0,9.4335,6.7452,1
1,0,0,0,6,0,10.463,7.2793,1
0,0,0,1,18,0,9.77,7.0475,0
1,0,0,0,5,0,10.021,7.0475,1
1,0,0,0,6,0,9.77,5.9915,1
1,0,0,0,20,0,9.4335,7.0475,0
1,0,0,0,1,1,9.77,6.3969,1
1,0,0,0,3,0,10.021,6.7452,1
1,0,0,0,5,0,10.463,7.0475,0
1,0,0,0,2,0,10.021,7.0475,1
0,0,1,1,5,0,10.82,7.2793,0
1,0,0,0,18,0,9.4335,6.7452,0
1,0,0,0,20,1,9.77,5.9915,1
0,0,0,0,14,0,8.9227,6.3969,0
0,0,1,0,3,0,9.4335,7.4955,0
1,0,0,0,17,0,9.4335,6.7452,0
1,0,0,0,20,0,10.021,7.0475,0
0,1,0,1,3,0,10.021,7.0475,1
0,1,0,0,2,0,10.021,7.0475,1
0,0,0,0,5,0,10.222,7.0475,1
1,0,0,0,35,0,9.77,7.0475,1
0,1,0,0,10,0,10.021,7.2793,0
0,1,0,0,8,0,9.77,7.0475,1
1,0,0,0,12,0,9.77,7.0475,0
0,1,0,0,7,0,10.222,6.7452,1
1,0,0,0,3,0,10.463,6.7452,1
0,1,0,0,25,0,10.222,6.7452,0
1,0,0,0,5,1,9.77,6.7452,1
0,1,0,0,4,0,10.222,7.0475,1
1,0,0,0,2,0,10.021,7.2793,1
0,1,0,0,5,0,10.463,6.7452,1
1,0,0,0,3,0,9.77,7.0475,0
1,0,0,0,2,0,10.82,7.4955,1
0,0,0,1,6,0,8.9227,5.9915,0
1,0,0,1,3,0,9.77,7.0475,1
0,0,1,0,12,0,9.4335,6.3969,1
0,0,0,0,3,0,9.77,6.7452,1
0,1,0,0,3,0,10.021,7.0475,1
0,0,0,0,3,0,10.021,6.7452,1
1,0,0,0,3,0,10.222,7.2793,1
0,1,0,0,3,1,10.021,7.0475,1
0,0,1,0,5,0,10.021,7.0475,1
0,0,0,0,35,1,8.9277,5.9915,1
0,1,0,0,3,0,10.463,7.4955,0
